Timestamp;DateTime;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_tx;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_rx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_tx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_rx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_tx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_rx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_tx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_rx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_tx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_rx;Aggregated_tx;Aggregated_rx
1635980520;2021-11-04 02:02;112120496;118433576;0;0;0;0;289469616;324549440;36974720;181968200;438564832;624951216
1635980580;2021-11-04 02:03;109214088;152491304;0;0;0;0;286379592;187132080;42113656;181308320;437707336;520931704
1635980640;2021-11-04 02:04;106293408;132934640;0;0;0;0;278478072;186494416;45029256;154426304;429800736;473855360
1635980700;2021-11-04 02:05;114985512;107787952;0;0;0;0;261419312;175141720;39251568;142757728;415656392;425687400
1635980760;2021-11-04 02:06;97335008;104081928;0;0;0;0;227918440;145101592;38123024;141735112;363376472;390918632
1635980820;2021-11-04 02:07;107902328;105604392;0;0;0;0;256899920;126949088;31684696;128427920;396486944;360981400
1635980880;2021-11-04 02:08;122003248;82974288;0;0;0;0;267024776;120233160;44436288;150802760;433464312;354010208
1635980940;2021-11-04 02:09;112090344;95119856;0;0;0;0;259724544;136916760;33885800;139116424;405700688;371153040
1635981000;2021-11-04 02:10;110866872;90555744;0;0;0;0;248183304;149666272;36898312;141815024;395948488;382037040
1635981060;2021-11-04 02:11;101363080;73750400;0;0;0;0;239417648;154513032;37992424;161640216;378773152;389903648
1635981120;2021-11-04 02:12;103693856;76228008;0;0;0;0;251468368;160920048;41899656;151996904;397061880;389144960
1635981180;2021-11-04 02:13;118813976;86196832;0;0;0;0;266780496;185857616;52848112;142752344;438442584;414806792
1635981240;2021-11-04 02:14;82379952;83653584;0;0;0;0;287720552;188888728;50717232;136460664;420817736;409002976
1635981300;2021-11-04 02:15;131573688;70898000;0;0;0;0;258722944;298086048;44160288;153682608;434456920;522666656
1635981360;2021-11-04 02:16;166396616;112658424;0;0;0;0;237839656;322522536;50403448;152228456;454639720;587409416
1635981420;2021-11-04 02:17;160475160;92253456;0;0;0;0;244497232;288293328;43139456;149863448;448111848;530410232
1635981480;2021-11-04 02:18;169007568;68156944;0;0;0;0;226808616;293226720;49368280;116626104;445184464;478009768
1635981540;2021-11-04 02:19;167799192;101182824;0;0;0;0;248725112;280410288;45929608;125119752;462453912;506712864
1635981600;2021-11-04 02:20;164443680;87184296;0;0;0;0;282421080;279257920;46909280;135343800;493774040;501786016
1635981660;2021-11-04 02:21;156753728;116970752;0;0;0;0;252016240;235269896;44330112;116052136;453100080;468292784
1635981720;2021-11-04 02:22;127782584;71092824;0;0;0;0;249878616;132501952;45305224;116780872;422966424;320375648
1635981780;2021-11-04 02:23;114660272;73295664;0;0;0;0;265474112;107916720;49262896;116866528;429397280;298078912
1635981840;2021-11-04 02:24;94189696;76065136;0;0;0;0;276255912;127438416;52093424;152829136;422539032;356332688
1635981900;2021-11-04 02:25;91026600;68980448;0;0;0;0;278198656;244279288;47167888;121746216;416393144;435005952
1635981960;2021-11-04 02:26;125710104;79677472;0;0;0;0;400103760;271149536;67444400;163910968;593258264;514737976
1635982020;2021-11-04 02:27;109315024;76460784;0;0;0;0;402130512;122743704;74525272;131235736;585970808;330440224
1635982080;2021-11-04 02:28;94608808;60021352;0;0;0;0;453799072;117978928;79633480;120265504;628041360;298265784
1635982140;2021-11-04 02:29;120502864;74066872;0;0;0;0;425754256;143715488;71977320;98509488;618234440;316291848
1635982200;2021-11-04 02:30;81127656;57809728;0;0;0;0;379482592;143858120;160910336;120936328;621520584;322604176
1635982260;2021-11-04 02:31;87438456;68450416;0;0;0;0;369466312;154067656;251123720;126812248;708028488;349330320
1635982320;2021-11-04 02:32;92691712;80600216;0;0;0;0;432742504;156422552;189848304;123518904;715282520;360541672
1635982380;2021-11-04 02:33;97976392;71115616;0;0;0;0;324561520;163610992;292708016;203530768;715245928;438257376
1635982440;2021-11-04 02:34;112753080;74465456;0;0;0;0;451198856;163284248;101272048;198038296;665223984;435788000
1635982500;2021-11-04 02:35;110824264;72128712;0;0;0;0;444317448;138101064;75579416;164375368;630721128;374605144
1635982560;2021-11-04 02:36;92300344;61058440;0;0;0;0;427465176;128010608;56810408;169553112;576575928;358622160
1635982620;2021-11-04 02:37;115283128;66013552;0;0;0;0;464410664;156562120;78952160;161961304;658645952;384536976
1635982680;2021-11-04 02:38;99079144;72653016;0;0;0;0;445834552;144047504;67151760;142116432;612065456;358816952
1635982740;2021-11-04 02:39;92391144;56656936;0;0;0;0;473296136;126647136;70932664;170368960;636619944;353673032
1635982800;2021-11-04 02:40;87466672;76050624;0;0;0;0;451755640;149166392;69133768;156324904;608356080;381541920
1635982860;2021-11-04 02:41;114611456;83750656;0;0;0;0;482133776;161369664;75002656;147920808;671747888;393041128
1635982920;2021-11-04 02:42;109879112;94621328;0;0;0;0;382016304;140771152;69920000;132786496;561815416;368178976
1635982980;2021-11-04 02:43;110325472;82251936;0;0;0;0;402443520;137007720;71760736;146225544;584529728;365485200
1635983040;2021-11-04 02:44;111106024;68610072;0;0;0;0;432036776;133641208;65174008;146369224;608316808;348620504
1635983100;2021-11-04 02:45;126091304;55558888;0;0;0;0;401775704;146138664;64991464;121736840;592858472;323434392
1635983160;2021-11-04 02:46;113602384;78500608;0;0;0;0;420991568;161203368;69390912;150422648;603984864;390126624
1635983220;2021-11-04 02:47;99638360;70857808;0;0;0;0;425569304;138747208;67519440;158800424;592727104;368405440
1635983280;2021-11-04 02:48;112677600;67657656;0;0;0;0;397893176;132569080;75032792;133092528;585603568;333319264
1635983340;2021-11-04 02:49;99001752;73480200;0;0;0;0;461066296;128972112;71431808;146545376;631499856;348997688
1635983400;2021-11-04 02:50;125184280;61408584;0;0;0;0;394305224;138258328;74089592;148981176;593579096;348648088
1635983460;2021-11-04 02:51;102775280;68196600;0;0;0;0;430796280;106080608;78108640;105367920;611680200;279645128
1635983520;2021-11-04 02:52;96116056;68118896;0;0;0;0;406878104;84084656;69174992;91790888;572169152;243994440
1635983580;2021-11-04 02:53;114624056;63211280;0;0;0;0;429185616;90948768;76645040;108684320;620454712;262844368
1635983640;2021-11-04 02:54;92791336;55574792;0;0;0;0;411163624;113219056;75054416;119462320;579009376;288256168
1635983700;2021-11-04 02:55;81409080;73745896;0;0;0;0;447348760;96973008;74766384;103055096;603524224;273774000
1635983760;2021-11-04 02:56;90717624;106850032;0;0;0;0;452412760;123650856;72106256;137689096;615236640;368189984
1635983820;2021-11-04 02:57;117363216;94947536;0;0;0;0;465274512;92383000;75151912;166380448;657789640;353710984
1635983880;2021-11-04 02:58;119661208;61096976;0;0;0;0;425736064;87793400;70879016;142521024;616276288;291411400
1635983940;2021-11-04 02:59;98388336;69402640;0;0;0;0;442055960;108321920;74870224;111737944;615314520;289462504
1635984000;2021-11-04 03:00;97987360;128159976;0;0;0;0;366400144;102506688;132778256;106339944;597165760;337006608
1635984060;2021-11-04 03:01;111049560;126306184;0;0;0;0;399417072;114072552;194037408;111476128;704504040;351854864
1635984120;2021-11-04 03:02;73512208;120395424;0;0;0;0;376547568;90084992;117148264;95884672;567208040;306365088
1635984180;2021-11-04 03:03;91021096;116742792;0;0;0;0;464770272;66281560;72276800;113716168;628068168;296740520
1635984240;2021-11-04 03:04;96689880;116185536;0;0;0;0;462544488;68725208;79777016;99715600;639011384;284626344
1635984300;2021-11-04 03:05;94288752;55267640;0;0;0;0;441925024;85340224;72926920;119198856;609140696;259806720
1635984360;2021-11-04 03:06;118245624;57673936;0;0;0;0;357465592;65679016;173067392;160094848;648778608;283447800
1635984420;2021-11-04 03:07;108513192;47679056;0;0;0;0;307068680;82604728;201674096;133673952;617255968;263957736
1635984480;2021-11-04 03:08;84890168;50016872;0;0;0;0;310377736;79922704;199313312;132564904;594581216;262504480
1635984540;2021-11-04 03:09;122356152;47070360;0;0;0;0;322414040;90850776;213056328;140471568;657826520;278392704
1635984600;2021-11-04 03:10;76600376;59122960;0;0;0;0;326243672;89491192;198893136;124196920;601737184;272811072
1635984660;2021-11-04 03:11;85893536;44803552;0;0;0;0;316750640;90949936;186921144;123116504;589565320;258869992
1635984720;2021-11-04 03:12;93777344;55972960;0;0;0;0;310534088;93407200;204239104;104007960;608550536;253388120
1635984780;2021-11-04 03:13;81691424;75838352;0;0;0;0;355933160;77842104;216914224;111133392;654538808;264813848
1635984840;2021-11-04 03:14;107803328;68602192;0;0;0;0;343316464;76061768;233665008;111748000;684784800;256411960
1635984900;2021-11-04 03:15;99563944;77631232;0;0;0;0;337539840;79681768;219369368;86516640;656473152;243829640
1635984960;2021-11-04 03:16;85271040;48154520;0;0;0;0;352329576;94391112;227604128;91189688;665204744;233735320
1635985020;2021-11-04 03:17;126344896;55433344;0;0;0;0;260662432;84896160;262428296;145036560;649435624;285366064
1635985080;2021-11-04 03:18;129167384;114749344;0;0;0;0;135652856;89890712;149611168;277367488;414431408;482007544
1635985140;2021-11-04 03:19;145464416;47940944;0;0;0;0;172565888;95799240;154305056;89593248;472335360;233333432
1635985200;2021-11-04 03:20;151396272;47995616;0;0;0;0;141959624;107306128;142108328;94638720;435464224;249940464
1635985260;2021-11-04 03:21;155530448;33578688;0;0;0;0;160327048;99760672;117149168;87435168;433006664;220774528
1635985320;2021-11-04 03:22;144904240;58056896;0;0;0;0;114576136;95792632;149455760;96684904;408936136;250534432
1635985380;2021-11-04 03:23;94542928;65371704;0;0;0;0;164136624;83057000;154844664;87326336;413524216;235755040
1635985440;2021-11-04 03:24;81659312;73435624;0;0;0;0;183651640;83611200;125179104;97400536;390490056;254447360
1635985500;2021-11-04 03:25;112427400;72127632;0;0;0;0;169158496;94847752;155685312;103854720;437271208;270830104
1635985560;2021-11-04 03:26;74316296;57885352;0;0;0;0;210181872;79518144;198710048;86649288;483208216;224052784
1635985620;2021-11-04 03:27;90541504;42918064;0;0;0;0;246350280;78595312;238767504;75484104;575659288;196997480
1635985680;2021-11-04 03:28;105925680;98826504;0;0;0;0;228504600;84849584;204023976;66891184;538454256;250567272
1635985740;2021-11-04 03:29;86767144;134731744;0;0;0;0;169120816;76425008;282469464;62563856;538357424;273720608
1635985800;2021-11-04 03:30;106375960;43348256;0;0;0;0;207370296;77302728;279784608;65261920;593530864;185912904
1635985860;2021-11-04 03:31;102558736;44451832;0;0;0;0;178252560;76639336;305977208;70539448;586788504;191630616
1635985920;2021-11-04 03:32;110147080;37149160;0;0;0;0;192267544;108122584;305884448;85881168;608299072;231152912
1635985980;2021-11-04 03:33;96933592;30490136;0;0;0;0;166715048;94354288;287757032;72672576;551405672;197517000
1635986040;2021-11-04 03:34;76075904;93199176;0;0;0;0;179533120;78097360;302684024;72712400;558293048;244008936
1635986100;2021-11-04 03:35;92059872;82771456;0;0;0;0;186663600;79727904;338463992;59256504;617187464;221755864
1635986160;2021-11-04 03:36;118962408;69904632;0;0;0;0;187926280;76682408;345744896;66664560;652633584;213251600
